Date,Sales_Value,Sales_Qty
2015-01-01,4078.60007482,24
2015-01-02,1826.2900390999998,13
2015-01-03,4798.5001068599995,27
2015-01-04,5128.3000985,39
2015-01-05,4748.89008714,35
2015-01-06,4103.29005062,42
2015-01-07,4072.12009064,24
2015-01-08,6897.26018538,40
2015-01-09,2546.0900575,24
2015-01-10,4162.00011078,30
2015-01-11,5115.60014744,21
2015-01-12,8913.31017712,70
2015-01-13,6521.25013752,42
2015-01-14,3848.47003564,32
2015-01-15,5916.3401567,39
2015-01-16,3098.70005804,18
2015-01-17,3961.5300749999997,27
2015-01-18,4913.61011518,23
2015-01-19,6194.8701861,36
2015-01-20,5794.9901316,43
2015-01-21,5605.27012276,40
2015-01-22,2305.7000389199998,16
2015-01-23,4418.42012416,20
2015-01-24,5125.63008878,43
2015-01-25,8268.77017226,62
2015-01-26,3587.84002688,38
2015-01-27,6827.02020664,40
2015-01-28,4084.4800605,30
2015-01-29,6403.24006656,49
2015-01-30,4631.41009924,36
2015-01-31,5175.0101549,29
2015-02-01,4545.380123219999,28
2015-02-02,4304.63010804,24
2015-02-03,3162.46005256,32
2015-02-04,6070.26010719,44
2015-02-05,2800.67001342,32
2015-02-06,4500.05012914,28
2015-02-07,5143.48010638,32
2015-02-08,3834.11007698,25
2015-02-09,5587.9000894,35
2015-02-10,5733.0801584,24
2015-02-11,3659.6300965,23
2015-02-12,2670.1000367,25
2015-02-13,5582.87011352,37
2015-02-14,5701.110157059999,36
2015-02-15,3109.61005408,22
2015-02-16,4907.6100236,51
2015-02-17,4087.03010186,28
2015-02-18,3239.1900730899997,18
2015-02-19,4859.32008366,40
2015-02-20,4650.4200783,35
2015-02-21,4999.4900856799995,30
2015-02-22,4288.99007809,28
2015-02-23,5939.07016768,27
2015-02-24,5869.3701173399995,37
2015-02-25,5021.14012544,22
2015-02-26,3955.53008278,26
2015-02-27,6942.86017628,36
2015-02-28,5023.41010294,32
2015-03-01,6597.2801745,39
2015-03-02,3739.3800353799998,24
2015-03-03,4180.10009014,24
2015-03-04,3572.12009054,21
2015-03-05,5982.5501329399995,39
2015-03-06,4458.91006852,43
2015-03-07,3749.44005204,32
2015-03-08,4125.25004966,44
2015-03-09,3355.39009117,32
2015-03-10,3848.68009188,20
2015-03-11,3815.43006892,32
2015-03-12,5696.0700991,56
2015-03-13,4695.2301140399995,31
2015-03-14,3656.1200829199997,22
2015-03-15,3086.69007118,18
2015-03-16,5451.81012736,42
2015-03-17,2518.52006924,13
2015-03-18,5753.69012844,44
2015-03-19,8282.67012805,64
2015-03-20,5119.47013118,31
2015-03-21,4732.9801026,30
2015-03-22,2365.93003088,22
2015-03-23,4860.27006522,39
2015-03-24,2808.83004004,41
2015-03-25,4481.4000435,37
2015-03-26,3525.5100899999998,28
2015-03-27,4808.4900971199995,29
2015-03-28,2252.8200530999998,11
2015-03-29,5502.05008334,42
2015-03-30,7069.06016172,51
2015-03-31,5346.33009338,38
2015-04-01,8593.47014618,59
2015-04-02,5111.20010774,47
2015-04-03,6172.7301254799995,42
2015-04-04,4213.67007834,20
2015-04-05,3817.6300966,21
2015-04-06,4415.64009868,22
2015-04-07,4674.17013182,22
2015-04-08,6801.50014894,57
2015-04-09,5674.45012294,31
2015-04-10,3165.1400909999998,20
2015-04-11,4764.2000771,33
2015-04-12,4748.9501113999995,31
2015-04-13,5395.90012748,35
2015-04-14,3470.5400696,25
2015-04-15,4960.6300545,50
2015-04-16,5125.97011962,30
2015-04-17,6567.76010898,41
2015-04-18,3381.57006474,28
2015-04-19,5492.10014744,25
2015-04-20,4215.39007964,36
2015-04-21,4741.97009664,31
