Date,Sales_Value,Sales_Qty
2015-01-01,488.1200104,13
2015-01-02,1249.67001724,28
2015-01-03,1036.61999883,26
2015-01-04,1618.43999477,41
2015-01-05,1849.96999347,46
2015-01-06,691.60000223,18
2015-01-07,1779.22001263,42
2015-01-08,2203.30999755,53
2015-01-09,1494.65999413,39
2015-01-10,1310.8199996,32
2015-01-11,1410.2099914,32
2015-01-12,2630.6800193,66
2015-01-13,2140.47000118,48
2015-01-14,1673.88000487,39
2015-01-15,1539.2600097700001,39
2015-01-16,1178.02999882,28
2015-01-17,1516.00999823,34
2015-01-18,1180.59999836,28
2015-01-19,1303.61000445,33
2015-01-20,2439.8300094300002,58
2015-01-21,626.2100067,16
2015-01-22,1817.97000499,46
2015-01-23,684.32999415,16
2015-01-24,1450.00999828,34
2015-01-25,2133.4099998,49
2015-01-26,1094.57000158,28
2015-01-27,1423.91999431,32
2015-01-28,1246.82001108,30
2015-01-29,1086.9100036,26
2015-01-30,1319.63999942,30
2015-01-31,1995.04000085,49
2015-02-01,2015.0099945299999,46
2015-02-02,1180.00998678,29
2015-02-03,1264.3700217800001,32
2015-02-04,1011.0400009,27
2015-02-05,885.4599990199999,22
2015-02-06,2152.5099944,53
2015-02-07,1998.9099978499999,47
2015-02-08,1447.5399932,36
2015-02-09,1042.29999538,23
2015-02-10,1607.83000564,39
2015-02-11,1437.15999993,36
2015-02-12,840.55000685,19
2015-02-13,2192.17000954,51
2015-02-14,1275.23000334,31
2015-02-15,1132.07999798,29
2015-02-16,1470.63000296,35
2015-02-17,2055.4099883,48
2015-02-18,1876.89000706,42
2015-02-19,2264.33002272,56
2015-02-20,1366.31999207,32
2015-02-21,1295.37000269,31
2015-02-22,1530.78001784,35
2015-02-23,1028.97000122,25
2015-02-24,1357.47999948,33
2015-02-25,1823.030014,45
2015-02-26,1041.51000215,25
2015-02-27,1212.68000226,32
2015-02-28,1373.07999606,35
2015-03-01,1974.3499983,50
2015-03-02,1883.19999693,44
2015-03-03,1521.1200027300001,36
2015-03-04,2039.38001239,49
2015-03-05,960.74000546,27
2015-03-06,1158.84999845,28
2015-03-07,905.7600021000001,23
2015-03-08,1351.93999484,32
2015-03-09,1461.67998882,33
2015-03-10,1837.21001439,44
2015-03-11,839.4600067,19
2015-03-12,860.4600067,22
2015-03-13,1460.3699951,34
2015-03-14,1874.68999476,46
2015-03-15,1024.5,23
2015-03-16,1639.20000462,38
2015-03-17,1010.09999851,24
2015-03-18,2028.28000628,50
2015-03-19,1634.9600067000001,38
2015-03-20,467.94000248000003,12
2015-03-21,875.16000362,23
2015-03-22,1361.02000818,34
2015-03-23,2128.49999996,48
2015-03-24,220.5,5
2015-03-25,1833.7799986,44
2015-03-26,1019.88999939,25
2015-03-27,1035.9499969,23
2015-03-28,1352.0399932999999,34
2015-03-29,1745.32000731,41
2015-03-30,1608.68000413,39
2015-03-31,1566.8300018,36
2015-04-01,1660.60001755,41
2015-04-02,1665.65999225,39
2015-04-03,1969.5,46
2015-04-04,1026.93000026,24
2015-04-05,962.8999938,23
2015-04-06,802.37999725,21
2015-04-07,1621.8699951,36
2015-04-08,967.3099976000001,25
2015-04-09,1068.27000614,30
2015-04-10,1677.03999698,45
2015-04-11,535.3099976,12
2015-04-12,1362.40000528,34
2015-04-13,1381.78001401,36
2015-04-14,1384.3300018300001,31
2015-04-15,1320.7000007,31
2015-04-16,1512.80000304,36
2015-04-17,2724.9599914,70
2015-04-18,1361.81999588,28
2015-04-19,1104.02000425,26
2015-04-20,1130.5800018300001,27
2015-04-21,1078.76999847,26
2015-04-22,633.87999725,14
2015-04-23,827.90000147,21
2015-04-24,1433.59000016,35
2015-04-25,716.87999725,15
2015-04-26,1469.6300049000001,36
2015-04-27,1219.89000315,30
2015-04-28,1671.1899948,37
2015-04-29,1787.9600067000001,44
2015-04-30,2448.00001145,61
2015-05-01,2410.33001707,59
2015-05-02,1047.57999992,24
